date,items,pettah_average,pettah_min_value,pettah_max_value,food_inflation_Base_2013,percipitation,Bankrupt,pettah_range,pettah_midpoint
8/28/2015,Rice (Rs/kg)_Nadu 1,68,66,70,109.1,12.48,0,4,68
8/28/2015,Onion (Rs/Kg)_Vedalan,91,85,95,109.1,12.48,0,10,90
8/28/2015,Pulses (Rs/Kg)_Red Dhal,176.6,166,185,109.1,12.48,0,19,175.5
8/28/2015,Potatoes (Rs/Kg)_Nuwaraeliya,99,95,105,109.1,12.48,0,10,100
8/28/2015,Pulses (Rs/Kg)_Cowpea,210,175,230,109.1,12.48,0,55,202.5
8/28/2015,Pulses (Rs/Kg)_Green Gram,187.6,175,195,109.1,12.48,0,20,185
8/28/2015,Rice (Rs/kg)_Nadu 2,63.8,62,65,109.1,12.48,0,3,63.5
8/28/2015,Potatoes (Rs/Kg)_Welimada,93.33,90,100,109.1,12.48,0,10,95
8/28/2015,Rice (Rs/kg)_Samba 1,91.4,90,93,109.1,12.48,0,3,91.5
8/28/2015,Rice (Rs/kg)_Nadu 2,63.8,62,65,109.1,12.48,0,3,63.5
8/28/2015,Rice (Rs/kg)_Samba 2,83.8,82,85,109.1,12.48,0,3,83.5
8/28/2015,Rice (Rs/kg)_Nadu 1,68,66,70,109.1,12.48,0,4,68
8/28/2015,Onion (Rs/Kg)_Vedalan,91,85,95,109.1,12.48,0,10,90
8/28/2015,Rice (Rs/kg)_Samba 1,91.4,90,93,109.1,12.48,0,3,91.5
8/28/2015,Pulses (Rs/Kg)_Green Gram,187.6,175,195,109.1,12.48,0,20,185
8/28/2015,Potatoes (Rs/Kg)_Nuwaraeliya,99,95,105,109.1,12.48,0,10,100
8/28/2015,Potatoes (Rs/Kg)_Welimada,93.33,90,100,109.1,12.48,0,10,95
8/28/2015,Pulses (Rs/Kg)_Red Dhal,176.6,166,185,109.1,12.48,0,19,175.5
8/28/2015,Pulses (Rs/Kg)_Cowpea,210,175,230,109.1,12.48,0,55,202.5
8/31/2015,Pulses (Rs/Kg)_Cowpea,205,165,230,109.1,2.81,0,65,197.5
8/31/2015,Rice (Rs/kg)_Nadu 1,69,68,70,109.1,2.81,0,2,69
8/31/2015,Rice (Rs/kg)_Samba 1,91.4,90,93,109.1,2.81,0,3,91.5
8/31/2015,Pulses (Rs/Kg)_Red Dhal,174.4,166,185,109.1,2.81,0,19,175.5
8/31/2015,Rice (Rs/kg)_Nadu 2,63.8,62,65,109.1,2.81,0,3,63.5
8/31/2015,Potatoes (Rs/Kg)_Welimada,96.67,90,100,109.1,2.81,0,10,95
8/31/2015,Pulses (Rs/Kg)_Red Dhal,174.4,166,185,109.1,2.81,0,19,175.5
8/31/2015,Onion (Rs/Kg)_Vedalan,85,80,90,109.1,2.81,0,10,85
8/31/2015,Rice (Rs/kg)_Samba 2,83.8,82,85,109.1,2.81,0,3,83.5
8/31/2015,Potatoes (Rs/Kg)_Nuwaraeliya,97.5,95,100,109.1,2.81,0,5,97.5
